time,joint1,joint2,joint3,joint4,joint5,joint6,description
0.000,0.000,1.200,-0.500,0.000,0.000,0.000,Start center
0.125,0.000,1.630,-0.100,0.000,0.000,0.000,UP center (HIT)

0.250,-1.200,1.500,-0.300,0.000,0.000,0.000,Anticipate left
0.375,-2.600,1.630,-0.100,0.000,0.000,0.000,LEFT UP (HIT)

0.500,-2.200,1.400,-0.400,0.000,0.000,0.000,Recoil left
0.625,0.000,1.200,-0.500,0.000,0.000,0.000,Return center

0.750,1.200,1.500,-0.300,0.000,0.000,0.000,Anticipate right
0.875,2.600,1.630,-0.100,0.000,0.000,0.000,RIGHT UP (HIT)

1.000,2.200,1.400,-0.400,0.000,0.000,0.000,Recoil right
1.125,0.000,1.200,-0.500,0.000,0.000,0.000,Return center

1.250,0.000,1.630,-0.100,0.000,0.000,0.000,UP center (HIT)

1.375,-1.200,1.500,-0.300,0.000,0.000,0.000,Anticipate left
1.500,-2.600,1.630,-0.100,0.000,0.000,0.000,LEFT UP (HIT)

1.625,-2.200,1.400,-0.400,0.000,0.000,0.000,Recoil left
1.750,0.000,1.200,-0.500,0.000,0.000,0.000,Return center

1.875,1.200,1.500,-0.300,0.000,0.000,0.000,Anticipate right
2.000,2.600,1.630,-0.100,0.000,0.000,0.000,RIGHT UP (HIT)

2.125,2.200,1.400,-0.400,0.000,0.000,0.000,Recoil right
2.250,0.000,1.200,-0.500,0.000,0.000,0.000,Return center

2.375,0.000,1.630,-0.100,0.000,0.000,0.000,UP center (HIT)

2.500,-1.200,1.500,-0.300,0.000,0.000,0.000,Anticipate left
2.625,-2.600,1.630,-0.100,0.000,0.000,0.000,LEFT UP (HIT)

2.750,-2.200,1.400,-0.400,0.000,0.000,0.000,Recoil left
2.875,0.000,1.200,-0.500,0.000,0.000,0.000,Return center

3.000,1.200,1.500,-0.300,0.000,0.000,0.000,Anticipate right
3.125,2.600,1.630,-0.100,0.000,0.000,0.000,RIGHT UP (HIT)
