time,joint1,joint2,joint3,joint4,joint5,joint6,description
2.401,-0.100,2.480,-0.100,0.000,0.000,0.000,Frame 0
2.441,-0.107,2.480,-0.100,0.000,0.000,0.000,Frame 1
2.481,-0.113,2.480,-0.100,0.000,0.000,0.000,Frame 2
2.521,-0.125,2.480,-0.100,0.000,0.000,0.000,Frame 3
2.561,-0.133,2.480,-0.100,0.000,0.000,0.000,Frame 4
2.602,-0.147,2.480,-0.100,0.000,0.000,0.000,Frame 5
2.642,-0.167,2.480,-0.100,0.000,0.000,0.000,Frame 6
2.682,-0.188,2.480,-0.100,0.000,0.000,0.000,Frame 7
2.722,-0.216,2.480,-0.100,0.000,0.000,0.000,Frame 8
6.804,-0.178,2.480,-0.100,0.000,0.000,0.000,Frame 9
6.844,-0.172,2.480,-0.100,0.000,0.000,0.000,Frame 10
6.884,-0.175,2.480,-0.100,0.000,0.000,0.000,Frame 11
6.924,-0.185,2.480,-0.100,0.000,0.000,0.000,Frame 12
6.964,-0.188,2.480,-0.100,0.000,0.000,0.000,Frame 13
7.004,-0.188,2.480,-0.100,0.000,0.000,0.000,Frame 14
7.044,-0.184,0.480,-0.100,0.000,0.000,0.000,Frame 15
7.084,-0.180,0.480,-0.100,0.000,0.000,0.000,Frame 16
7.124,-0.177,0.480,-0.100,0.000,0.000,0.000,Frame 17
7.164,-0.175,0.480,-0.100,0.000,0.000,0.000,Frame 18
7.204,-0.168,0.480,-0.100,0.000,0.000,0.000,Frame 19
7.244,-0.163,0.480,-0.100,0.000,0.000,0.000,Frame 20
7.284,-0.156,0.480,-0.100,0.000,0.000,0.000,Frame 21
7.324,-0.153,0.480,-0.100,0.000,0.000,0.000,Frame 22
7.364,-0.151,0.480,-0.100,0.000,0.000,0.000,Frame 23
7.404,-0.152,0.480,-0.100,0.000,0.000,0.000,Frame 24
7.444,-0.157,0.480,-0.100,0.000,0.000,0.000,Frame 25
7.484,-0.164,0.480,-0.100,0.000,0.000,0.000,Frame 26
7.524,-0.172,0.480,-0.100,0.000,0.000,0.000,Frame 27
7.564,-0.178,0.480,-0.100,0.000,0.000,0.000,Frame 28
7.604,-0.183,0.480,-0.100,0.000,0.000,0.000,Frame 29
7.644,-0.188,0.480,-0.100,0.000,0.000,0.000,Frame 30
7.684,-0.191,0.480,-0.100,0.000,0.000,0.000,Frame 31
7.724,-0.190,0.480,-0.100,0.000,0.000,0.000,Frame 32
7.764,-0.187,0.480,-0.100,0.000,0.000,0.000,Frame 33
7.805,-0.187,0.480,-0.100,0.000,0.000,0.000,Frame 34
7.845,-0.188,0.480,-0.100,0.000,0.000,0.000,Frame 35
7.885,-0.192,0.480,-0.100,0.000,0.000,0.000,Frame 36
7.925,-0.197,0.480,-0.100,0.000,0.000,0.000,Frame 37
7.965,-0.201,0.480,-0.100,0.000,0.000,0.000,Frame 38
8.005,-0.204,0.480,-0.100,0.000,0.000,0.000,Frame 39
8.045,-0.207,0.480,-0.100,0.000,0.000,0.000,Frame 40
8.085,-0.208,0.480,-0.100,0.000,0.000,0.000,Frame 41
8.125,-0.209,0.480,-0.100,0.000,0.000,0.000,Frame 42
8.165,-0.210,0.480,-0.100,0.000,0.000,0.000,Frame 43
8.205,-0.211,0.480,-0.100,0.000,0.000,0.000,Frame 44
8.245,-0.214,0.480,-0.100,0.000,0.000,0.000,Frame 45
8.285,-0.216,0.480,-0.100,0.000,0.000,0.000,Frame 46
8.325,-0.217,0.480,-0.100,0.000,0.000,0.000,Frame 47
8.365,-0.219,0.480,-0.100,0.000,0.000,0.000,Frame 48
8.405,-0.219,0.480,-0.100,0.000,0.000,0.000,Frame 49
8.445,-0.218,0.480,-0.100,0.000,0.000,0.000,Frame 50
8.485,-0.212,0.480,-0.100,0.000,0.000,0.000,Frame 51
8.525,-0.201,0.480,-0.100,0.000,0.000,0.000,Frame 52
8.565,-0.189,0.480,-0.100,0.000,0.000,0.000,Frame 53
8.605,-0.178,0.480,-0.100,0.000,0.000,0.000,Frame 54
8.645,-0.169,0.480,-0.100,0.000,0.000,0.000,Frame 55
8.685,-0.160,0.480,-0.100,0.000,0.000,0.000,Frame 56
8.725,-0.153,0.480,-0.100,0.000,0.000,0.000,Frame 57
8.765,-0.150,0.480,-0.100,0.000,0.000,0.000,Frame 58
8.805,-0.149,0.480,-0.100,0.000,0.000,0.000,Frame 59
8.845,-0.149,0.480,-0.100,0.000,0.000,0.000,Frame 60
8.885,-0.152,0.480,-0.100,0.000,0.000,0.000,Frame 61
8.925,-0.160,0.480,-0.100,0.000,0.000,0.000,Frame 62
8.965,-0.171,0.480,-0.100,0.000,0.000,0.000,Frame 63
