time,joint1,joint2,joint3,joint4,joint5,joint6,description
0.0,0.0,0.175,0.349,0.0,0.0,0.0,Start neutral pose
0.5,0.0,0.262,0.524,0.175,0.035,-0.035,Wave rising phase
1.0,0.0,0.349,0.698,0.349,0.070,-0.070,Peak upward curvature
1.5,0.0,0.262,0.524,0.175,0.035,-0.035,Descending from peak
2.0,0.0,0.175,0.349,0.0,0.0,0.0,Back to center
2.5,0.0,0.087,0.175,-0.175,-0.035,0.035,Wave dipping phase
3.0,0.0,0.0,0.0,-0.349,-0.070,0.070,Lowest trough
3.5,0.0,0.087,0.175,-0.175,-0.035,0.035,Ascending from trough
4.0,0.0,0.175,0.349,0.0,0.0,0.0,Center pass-through
4.5,0.0,0.262,0.524,0.175,0.035,-0.035,Second wave rise
5.0,0.0,0.349,0.698,0.349,0.070,-0.070,Second peak
5.5,0.0,0.262,0.524,0.175,0.035,-0.035,Second descent
6.0,0.0,0.175,0.349,0.0,0.0,0.0,Wave cycle complete
