time,joint1,joint2,joint3,joint4,joint5,joint6,description
0.0,0.000,0.000,0.000,0.000,0.000,0.000,Neutral rest position
0.5,0.100,0.150,0.050,0.080,0.060,0.040,Gentle awakening
1.0,0.250,0.400,0.150,0.200,0.150,0.100,Slow rise begins
1.5,0.450,0.700,0.300,0.400,0.300,0.200,Building momentum
2.0,0.700,1.100,0.500,0.650,0.500,0.350,Flowing upward
2.5,0.950,1.450,0.750,0.900,0.700,0.500,Reaching crest
3.0,1.150,1.700,1.000,1.100,0.850,0.650,Peak expansion
3.5,1.250,1.800,1.150,1.200,0.950,0.750,Hold the moment
4.0,1.200,1.750,1.100,1.150,0.900,0.700,Subtle settle
4.5,1.050,1.550,0.950,1.000,0.750,0.600,Begin descent
5.0,0.800,1.250,0.700,0.750,0.550,0.450,Graceful fall
5.5,0.500,0.900,0.450,0.450,0.350,0.250,Soft landing
6.0,0.200,0.550,0.200,0.150,0.150,0.100,Near ground
6.5,0.050,0.300,0.050,0.050,0.050,0.030,Almost still
7.0,0.000,0.200,0.000,0.000,0.000,0.000,Pause
7.5,-0.050,0.250,-0.100,-0.080,-0.060,-0.050,Shift weight
8.0,-0.150,0.400,-0.250,-0.200,-0.150,-0.120,Lean left
8.5,-0.300,0.600,-0.450,-0.350,-0.280,-0.220,Deeper lean
9.0,-0.500,0.850,-0.700,-0.550,-0.450,-0.350,Counter balance
9.5,-0.700,1.100,-0.950,-0.750,-0.600,-0.480,Extended reach
10.0,-0.850,1.300,-1.150,-0.900,-0.720,-0.600,Maximum extension
10.5,-0.900,1.350,-1.200,-0.950,-0.750,-0.650,Hold position
11.0,-0.850,1.300,-1.150,-0.900,-0.720,-0.620,Begin return
11.5,-0.700,1.150,-1.000,-0.750,-0.620,-0.520,Flowing back
12.0,-0.500,0.950,-0.800,-0.550,-0.480,-0.400,Centering
12.5,-0.300,0.700,-0.550,-0.350,-0.320,-0.280,Almost centered
13.0,-0.100,0.450,-0.300,-0.150,-0.180,-0.150,Near neutral
13.5,0.050,0.250,-0.100,0.000,-0.080,-0.060,Crossing center
14.0,0.200,0.150,0.050,0.150,0.000,0.020,Right side begins
14.5,0.400,0.250,0.250,0.350,0.150,0.120,Opening right
15.0,0.650,0.450,0.500,0.600,0.350,0.250,Expanding outward
15.5,0.900,0.700,0.800,0.850,0.550,0.400,Wide stance
16.0,1.100,0.950,1.100,1.050,0.750,0.550,Maximum spread
16.5,1.200,1.100,1.250,1.150,0.850,0.650,Peak right extension
17.0,1.150,1.050,1.200,1.100,0.820,0.630,Slight release
17.5,1.000,0.900,1.050,0.950,0.720,0.550,Drawing inward
18.0,0.800,0.700,0.850,0.750,0.600,0.450,Continuing inward
18.5,0.550,0.500,0.600,0.500,0.450,0.320,Gathering
19.0,0.300,0.300,0.350,0.250,0.280,0.200,Compact form
19.5,0.100,0.180,0.150,0.080,0.150,0.100,Almost closed
20.0,0.000,0.100,0.000,0.000,0.080,0.050,Center point
20.5,0.000,0.150,0.000,0.000,0.100,0.080,Breath pause
21.0,0.050,0.250,0.100,0.100,0.150,0.120,Wave begins base
21.5,0.150,0.400,0.250,0.250,0.250,0.180,Wave rises
22.0,0.300,0.600,0.450,0.450,0.400,0.280,Wave mid-section
22.5,0.500,0.850,0.700,0.700,0.580,0.400,Wave upper body
23.0,0.750,1.100,1.000,0.950,0.750,0.550,Wave reaches arms
23.5,1.000,1.300,1.300,1.150,0.900,0.700,Wave at fingertips
24.0,1.200,1.450,1.500,1.250,1.000,0.800,Wave peak
24.5,1.300,1.500,1.600,1.300,1.050,0.850,Wave crest hold
25.0,1.250,1.450,1.550,1.250,1.020,0.830,Wave begins retreat
25.5,1.100,1.300,1.400,1.100,0.920,0.750,Wave falling back
26.0,0.900,1.100,1.200,0.900,0.800,0.650,Wave descending
26.5,0.650,0.850,0.950,0.650,0.650,0.520,Wave mid-descent
27.0,0.400,0.600,0.700,0.400,0.500,0.400,Wave lower body
27.5,0.200,0.400,0.450,0.200,0.350,0.280,Wave settling
28.0,0.050,0.250,0.250,0.080,0.220,0.180,Wave almost done
28.5,0.000,0.150,0.100,0.000,0.120,0.100,Wave complete
29.0,0.000,0.200,0.100,0.000,0.100,0.080,Stillness
29.5,-0.080,0.250,0.050,-0.100,0.080,0.050,Twist preparation
30.0,-0.200,0.400,-0.050,-0.250,0.000,-0.020,Twist initiates
30.5,-0.400,0.650,-0.200,-0.450,-0.150,-0.120,Spiral begins
31.0,-0.650,0.950,-0.400,-0.700,-0.350,-0.250,Spiral deepens
31.5,-0.900,1.250,-0.650,-0.950,-0.550,-0.400,Winding tighter
32.0,-1.100,1.500,-0.900,-1.150,-0.720,-0.550,Near maximum twist
32.5,-1.200,1.600,-1.050,-1.250,-0.820,-0.650,Peak spiral
33.0,-1.150,1.550,-1.000,-1.200,-0.780,-0.620,Hold the coil
33.5,-1.000,1.400,-0.850,-1.050,-0.680,-0.550,Begin unwind
34.0,-0.800,1.200,-0.650,-0.850,-0.550,-0.450,Unwinding
34.5,-0.550,0.950,-0.450,-0.600,-0.400,-0.330,Releasing tension
35.0,-0.300,0.700,-0.250,-0.350,-0.250,-0.200,Continuing release
35.5,-0.100,0.500,-0.100,-0.150,-0.120,-0.090,Almost neutral
36.0,0.050,0.350,0.000,0.000,-0.050,-0.020,Through center
36.5,0.200,0.250,0.100,0.150,0.020,0.040,Reverse twist starts
37.0,0.400,0.300,0.250,0.350,0.120,0.120,Opposite direction
37.5,0.650,0.450,0.450,0.600,0.280,0.230,Counter spiral
38.0,0.900,0.650,0.700,0.850,0.450,0.360,Building momentum
38.5,1.100,0.900,0.950,1.050,0.620,0.500,Spiral tightening
39.0,1.250,1.100,1.150,1.200,0.760,0.630,Near peak reverse
39.5,1.300,1.200,1.250,1.250,0.830,0.700,Maximum counter twist
40.0,1.250,1.150,1.200,1.200,0.800,0.680,Hold briefly
40.5,1.100,1.000,1.050,1.050,0.720,0.620,Release begins
41.0,0.900,0.800,0.850,0.850,0.600,0.520,Unwinding again
41.5,0.650,0.600,0.600,0.600,0.460,0.400,Opening up
42.0,0.400,0.400,0.400,0.380,0.320,0.280,Spreading out
42.5,0.200,0.250,0.220,0.180,0.200,0.180,Almost neutral
43.0,0.050,0.150,0.100,0.050,0.120,0.100,Near center
43.5,0.000,0.100,0.050,0.000,0.080,0.060,Centered
44.0,0.000,0.120,0.030,0.000,0.060,0.040,Rest moment
44.5,0.080,0.200,0.100,0.120,0.120,0.100,Pulse begins
45.0,0.200,0.350,0.220,0.280,0.220,0.180,First pulse out
45.5,0.120,0.250,0.150,0.180,0.160,0.130,Pull back
46.0,0.280,0.450,0.320,0.400,0.300,0.240,Second pulse out
46.5,0.180,0.320,0.220,0.280,0.230,0.190,Pull back
47.0,0.380,0.600,0.450,0.550,0.420,0.330,Third pulse stronger
47.5,0.260,0.450,0.330,0.400,0.330,0.270,Pull back
48.0,0.500,0.800,0.620,0.720,0.560,0.440,Fourth pulse bigger
48.5,0.360,0.600,0.460,0.530,0.450,0.360,Pull back
49.0,0.650,1.050,0.820,0.920,0.720,0.560,Fifth pulse large
49.5,0.480,0.800,0.620,0.700,0.590,0.470,Pull back
50.0,0.850,1.350,1.080,1.150,0.920,0.710,Sixth pulse huge
50.5,0.650,1.050,0.850,0.920,0.760,0.600,Transition hold
51.0,0.500,0.850,0.680,0.720,0.630,0.510,Begin final descent
51.5,0.380,0.680,0.550,0.560,0.520,0.430,Descending smoothly
52.0,0.280,0.550,0.430,0.420,0.420,0.360,Continuing down
52.5,0.200,0.450,0.340,0.310,0.340,0.300,Lowering further
53.0,0.140,0.370,0.270,0.230,0.280,0.250,Getting closer
53.5,0.100,0.310,0.220,0.180,0.230,0.210,Almost there
54.0,0.070,0.260,0.180,0.140,0.190,0.180,Very close now
54.5,0.050,0.220,0.150,0.110,0.160,0.150,Near the end
55.0,0.030,0.190,0.120,0.090,0.140,0.130,Settling in
55.5,0.020,0.160,0.100,0.070,0.120,0.110,Almost settled
