time,joint1,joint2,joint3,joint4,joint5,joint6,description
0.0,0.0,3.2,0.0,0.0,0.0,0.0,Home
0.5,0.0,2.5,-0.3,0.0,0.0,0.0,Rise
1.0,0.0,1.8,-0.5,0.0,0.0,0.0,Up
1.5,0.0,1.63,-0.6,0.0,0.0,0.0,Vertical
2.0,0.0,1.63,-0.6,0.0,0.0,0.0,Hold
2.5,-0.8,1.63,-0.6,0.0,0.0,0.0,Left sweep
3.0,-1.2,1.63,-0.6,0.0,0.0,0.0,Left
3.5,-1.2,1.8,-0.4,0.0,0.0,0.0,Left down
4.0,-1.2,2.2,-0.2,0.0,0.0,0.0,Left mid
4.5,-1.2,2.8,0.0,0.0,0.0,0.0,Left low
5.0,-0.8,3.0,0.0,0.0,0.0,0.0,Arc center
5.5,0.0,3.0,0.0,0.0,0.0,0.0,Center
6.0,0.8,3.0,0.0,0.0,0.0,0.0,Arc right
6.5,1.2,2.8,0.0,0.0,0.0,0.0,Right low
7.0,1.2,2.2,-0.2,0.0,0.0,0.0,Right mid
7.5,1.2,1.8,-0.4,0.0,0.0,0.0,Right up
8.0,1.2,1.63,-0.6,0.0,0.0,0.0,Right vertical
8.5,1.2,1.63,-0.6,0.0,0.0,0.0,Hold
9.0,0.8,1.63,-0.6,0.0,0.0,0.0,Arc back
9.5,0.0,1.63,-0.6,0.0,0.0,0.0,Center up
10.0,0.0,1.8,-0.5,0.0,0.0,0.0,Down
10.5,0.0,2.2,-0.3,0.0,0.0,0.0,Down
11.0,0.0,2.6,-0.1,0.0,0.0,0.0,Down
11.5,0.0,3.0,0.0,0.0,0.0,0.0,Horizontal
12.0,0.0,3.2,0.0,0.0,0.0,0.0,Home
12.5,0.0,3.2,0.0,0.0,0.0,0.0,Hold
13.0,-0.6,3.2,0.0,0.2,0.0,0.0,Left wave
13.5,-0.6,2.8,-0.2,0.3,0.0,0.0,Left wave up
14.0,-0.6,2.4,-0.3,0.4,0.0,0.0,Left wave
14.5,-0.6,2.0,-0.4,0.3,0.0,0.0,Left wave
15.0,-0.6,1.8,-0.5,0.2,0.0,0.0,Left wave peak
15.5,-0.6,2.0,-0.4,0.1,0.0,0.0,Left wave down
16.0,-0.6,2.4,-0.3,0.0,0.0,0.0,Left wave
16.5,-0.6,2.8,-0.2,0.0,0.0,0.0,Left wave
17.0,-0.6,3.2,0.0,0.0,0.0,0.0,Left home
17.5,0.0,3.2,0.0,0.0,0.0,0.0,Center
18.0,0.6,3.2,0.0,-0.2,0.0,0.0,Right wave
18.5,0.6,2.8,-0.2,-0.3,0.0,0.0,Right wave up
19.0,0.6,2.4,-0.3,-0.4,0.0,0.0,Right wave
19.5,0.6,2.0,-0.4,-0.3,0.0,0.0,Right wave
20.0,0.6,1.8,-0.5,-0.2,0.0,0.0,Right wave peak
20.5,0.6,2.0,-0.4,-0.1,0.0,0.0,Right wave down
21.0,0.6,2.4,-0.3,0.0,0.0,0.0,Right wave
21.5,0.6,2.8,-0.2,0.0,0.0,0.0,Right wave
22.0,0.6,3.2,0.0,0.0,0.0,0.0,Right home
22.5,0.0,3.2,0.0,0.0,0.0,0.0,Center
23.0,0.0,2.5,-0.3,0.0,0.0,0.0,Rise
23.5,0.0,1.8,-0.5,0.0,0.0,0.0,Up
24.0,0.0,1.63,-0.6,0.0,0.0,0.0,Vertical
24.5,0.0,1.63,-0.6,0.0,0.0,0.0,Hold
25.0,-0.5,1.63,-0.6,0.0,0.0,0.0,Circle start
25.5,-0.7,1.8,-0.5,0.0,0.0,0.0,Circle
26.0,-0.8,2.2,-0.3,0.0,0.0,0.0,Circle
26.5,-0.7,2.6,-0.1,0.0,0.0,0.0,Circle
27.0,-0.5,3.0,0.0,0.0,0.0,0.0,Circle
27.5,0.0,3.0,0.0,0.0,0.0,0.0,Circle
28.0,0.5,3.0,0.0,0.0,0.0,0.0,Circle
28.5,0.7,2.6,-0.1,0.0,0.0,0.0,Circle
29.0,0.8,2.2,-0.3,0.0,0.0,0.0,Circle
29.5,0.7,1.8,-0.5,0.0,0.0,0.0,Circle
30.0,0.5,1.63,-0.6,0.0,0.0,0.0,Circle
30.5,0.0,1.63,-0.6,0.0,0.0,0.0,Circle complete
31.0,0.0,1.8,-0.5,0.0,0.0,0.0,Down
31.5,0.0,2.2,-0.3,0.0,0.0,0.0,Down
32.0,0.0,2.6,-0.1,0.0,0.0,0.0,Down
32.5,0.0,3.0,0.0,0.0,0.0,0.0,Down
33.0,0.0,3.2,0.0,0.0,0.0,0.0,Home
33.5,0.0,3.2,0.0,0.0,0.0,0.0,End
