time,joint1,joint2,joint3,joint4,joint5,joint6,description
0.0,0.185,2.932,-0.1728,0.102,0.0255,0.0,Micro-joint wake; keep resistance; start on breath
0.375,0.4675,2.827,-0.1989,0.1014,0.0254,0.0,Micro-joint wake; keep resistance; start on breath
0.75,0.633,2.8075,-0.1812,0.079,0.0198,0.0,Micro-joint wake; keep resistance; start on breath
1.125,0.6515,2.87,-0.129,0.0432,0.0108,0.0,Micro-joint wake; keep resistance; start on breath
1.5,0.5455,2.9825,-0.0621,0.006,0.0015,0.0,Micro-joint wake; keep resistance; start on breath
1.875,0.376,3.103,-0.0012,-0.0234,-0.0059,0.0,Micro-joint wake; keep resistance; start on breath
2.25,0.2095,3.201,0.0,-0.0414,-0.0103,0.0,Micro-joint wake; keep resistance; start on breath
2.625,0.078,3.2685,0.0,-0.0508,-0.0127,0.0,Micro-joint wake; keep resistance; start on breath
3.0,-0.026,3.3225,0.0,-0.058,-0.0145,0.0,Micro-joint wake; keep resistance; start on breath
3.375,-0.146,3.386,0.0,-0.0676,-0.0169,0.0,Micro-joint wake; keep resistance; start on breath
3.75,-0.3125,3.403,0.0,-0.077,-0.0192,0.0,Micro-joint wake; keep resistance; start on breath
4.125,-0.518,3.403,0.0,-0.0782,-0.0196,0.0,Micro-joint wake; keep resistance; start on breath
4.5,-0.697,3.403,0.0,-0.0608,-0.0152,0.0,Micro-joint wake; keep resistance; start on breath
4.875,-0.748,3.403,0.0,-0.02,-0.005,0.0,Micro-joint wake; keep resistance; start on breath
5.25,-0.596,3.351,0.0,0.0384,0.0096,0.0,Micro-joint wake; keep resistance; start on breath
5.625,-0.2345,3.1,-0.1248,0.0976,0.0244,0.0,Micro-joint wake; keep resistance; start on breath
6.0,0.247,2.843,-0.2301,0.1362,0.034,0.0,Micro-joint wake; keep resistance; start on breath
6.375,0.697,2.668,-0.2778,0.1386,0.0347,0.0,Micro-joint wake; keep resistance; start on breath
6.75,0.9645,2.636,-0.2496,0.1028,0.0257,0.0,Micro-joint wake; keep resistance; start on breath
7.125,0.975,2.751,-0.1581,0.0416,0.0104,0.0,Micro-joint wake; keep resistance; start on breath
7.5,0.755,2.96,-0.0381,-0.0234,-0.0059,0.0,Micro-joint wake; keep resistance; start on breath
7.875,0.418,3.1845,0.0,-0.0736,-0.0184,0.0,Micro-joint wake; keep resistance; start on breath
8.25,0.09,3.3615,0.0,-0.1008,-0.0252,0.0,Micro-joint wake; keep resistance; start on breath
8.625,-0.1615,3.403,0.0,-0.1106,-0.0277,0.0,Micro-joint wake; keep resistance; start on breath
9.0,-0.348,3.403,0.0,-0.1144,-0.0286,0.0,Micro-joint wake; keep resistance; start on breath
9.375,-0.5415,3.403,0.0,-0.1202,-0.0301,0.0,Micro-joint wake; keep resistance; start on breath
9.75,-0.794,3.403,0.0,-0.1246,-0.0312,0.0,Micro-joint wake; keep resistance; start on breath
10.125,-1.0825,3.403,0.0,-0.114,-0.0285,0.0,Micro-joint wake; keep resistance; start on breath
10.5,-1.2935,3.403,0.0,-0.0732,-0.0183,0.0,Micro-joint wake; keep resistance; start on breath
10.875,-1.2795,3.403,0.0,0.0016,0.0004,0.0,Micro-joint wake; keep resistance; start on breath
11.25,-0.9465,3.3685,-0.0552,0.0974,0.0244,0.0,Micro-joint wake; keep resistance; start on breath
11.625,-0.321,2.96,-0.2508,0.1864,0.0466,0.0,Micro-joint wake; keep resistance; start on breath
12.0,0.432,2.575,-0.4029,0.2382,0.0595,0.0,Transmission layer; shoulders lead; head lags; no spikes
12.375,1.089,2.331,-0.4635,0.236,0.059,0.0,Transmission layer; shoulders lead; head lags; no spikes
12.75,1.4665,2.291,-0.42,0.1828,0.0457,0.0,Transmission layer; shoulders lead; head lags; no spikes
13.125,1.495,2.4425,-0.2964,0.0994,0.0249,0.0,Transmission layer; shoulders lead; head lags; no spikes
13.5,1.237,2.706,-0.1413,0.0136,0.0034,0.0,Transmission layer; shoulders lead; head lags; no spikes
13.875,0.8415,2.9835,-0.003,-0.0524,-0.0131,0.0,Transmission layer; shoulders lead; head lags; no spikes
14.25,0.46,3.202,0.0,-0.0908,-0.0227,0.0,Transmission layer; shoulders lead; head lags; no spikes
14.625,0.17,3.3485,0.0,-0.1096,-0.0274,0.0,Transmission layer; shoulders lead; head lags; no spikes
15.0,-0.0555,3.403,0.0,-0.1228,-0.0307,0.0,Transmission layer; shoulders lead; head lags; no spikes
15.375,-0.3015,3.403,0.0,-0.1398,-0.035,0.0,Transmission layer; shoulders lead; head lags; no spikes
15.75,-0.6355,3.403,0.0,-0.1562,-0.0391,0.0,Transmission layer; shoulders lead; head lags; no spikes
16.125,-1.0295,3.403,0.0,-0.1552,-0.0388,0.0,Transmission layer; shoulders lead; head lags; no spikes
16.5,-1.3545,3.403,0.0,-0.1182,-0.0295,0.0,Transmission layer; shoulders lead; head lags; no spikes
16.875,-1.426,3.403,0.0,-0.038,-0.0095,0.0,Transmission layer; shoulders lead; head lags; no spikes
