time,joint1,joint2,joint3,joint4,joint5,joint6,description
0.0,0.0,3.2,0.0,0.0,0.0,0.0,Start - Home
0.5,0.0,3.15,-0.05,0.0,0.0,0.0,Intro - Gentle rise
1.0,0.0,3.1,-0.1,0.0,0.0,0.0,Intro - Rise
1.5,0.0,3.0,-0.15,0.0,0.0,0.0,Intro - Rise
2.0,0.0,2.8,-0.2,0.0,0.0,0.0,Intro - Rise
2.5,0.0,2.6,-0.25,0.0,0.0,0.0,Intro - Rise
3.0,0.0,2.4,-0.3,0.0,0.0,0.0,Intro - Rise
3.5,0.0,2.2,-0.35,0.0,0.0,0.0,Intro - Rise
4.0,0.0,2.0,-0.4,0.0,0.0,0.0,Intro - Rise
4.5,0.0,1.85,-0.5,0.0,0.0,0.0,Intro - Rise
5.0,0.0,1.7,-0.55,0.0,0.0,0.0,Intro - Rise
5.5,0.0,1.63,-0.6,0.0,0.0,0.0,Intro - Vertical
6.0,0.0,1.63,-0.6,0.0,0.0,0.0,Intro - Hold
6.5,-0.2,1.63,-0.6,0.0,0.0,0.0,Routine 1 - Left start
7.0,-0.4,1.7,-0.55,0.0,0.0,0.0,Routine 1 - Left down
7.5,-0.6,1.85,-0.5,0.0,0.0,0.0,Routine 1 - Left down
8.0,-0.7,2.0,-0.4,0.0,0.0,0.0,Routine 1 - Left mid
8.5,-0.7,2.2,-0.35,0.0,0.0,0.0,Routine 1 - Left mid
9.0,-0.7,2.4,-0.3,0.0,0.0,0.0,Routine 1 - Left mid
9.5,-0.6,2.6,-0.25,0.0,0.0,0.0,Routine 1 - Left low
10.0,-0.5,2.8,-0.2,0.0,0.0,0.0,Routine 1 - Arc center
10.5,-0.3,3.0,-0.15,0.0,0.0,0.0,Routine 1 - Arc
11.0,0.0,3.0,-0.15,0.0,0.0,0.0,Routine 1 - Center
11.5,0.3,3.0,-0.15,0.0,0.0,0.0,Routine 1 - Arc
12.0,0.5,2.8,-0.2,0.0,0.0,0.0,Routine 1 - Arc right
12.5,0.6,2.6,-0.25,0.0,0.0,0.0,Routine 1 - Right low
13.0,0.7,2.4,-0.3,0.0,0.0,0.0,Routine 1 - Right mid
13.5,0.7,2.2,-0.35,0.0,0.0,0.0,Routine 1 - Right mid
14.0,0.7,2.0,-0.4,0.0,0.0,0.0,Routine 1 - Right mid
14.5,0.6,1.85,-0.5,0.0,0.0,0.0,Routine 1 - Right up
15.0,0.4,1.7,-0.55,0.0,0.0,0.0,Routine 1 - Right up
15.5,0.2,1.63,-0.6,0.0,0.0,0.0,Routine 1 - Right vertical
16.0,0.0,1.63,-0.6,0.0,0.0,0.0,Routine 1 - Center up
16.5,0.0,1.7,-0.55,0.0,0.0,0.0,Routine 1 - Down
17.0,0.0,1.85,-0.5,0.0,0.0,0.0,Routine 1 - Down
17.5,0.0,2.0,-0.4,0.0,0.0,0.0,Routine 1 - Down
18.0,0.0,2.2,-0.35,0.0,0.0,0.0,Routine 1 - Down
18.5,0.0,2.4,-0.3,0.0,0.0,0.0,Routine 1 - Down
19.0,0.0,2.6,-0.25,0.0,0.0,0.0,Routine 1 - Down
19.5,0.0,2.8,-0.2,0.0,0.0,0.0,Routine 1 - Down
20.0,0.0,3.0,-0.15,0.0,0.0,0.0,Routine 1 - Down
20.5,0.0,3.1,-0.1,0.0,0.0,0.0,Routine 1 - Down
21.0,0.0,3.15,-0.05,0.0,0.0,0.0,Routine 1 - Down
21.5,0.0,3.2,0.0,0.0,0.0,0.0,Routine 1 - Home
22.0,-0.3,3.2,0.0,0.1,0.0,0.0,Routine 2 - Left wave start
22.5,-0.3,3.0,-0.1,0.15,0.0,0.0,Routine 2 - Left wave
23.0,-0.3,2.6,-0.2,0.2,0.0,0.0,Routine 2 - Left wave up
23.5,-0.3,2.2,-0.3,0.25,0.0,0.0,Routine 2 - Left wave
24.0,-0.3,1.9,-0.45,0.3,0.0,0.0,Routine 2 - Left wave peak
24.5,-0.3,1.8,-0.5,0.25,0.0,0.0,Routine 2 - Left wave top
25.0,-0.3,1.9,-0.45,0.2,0.0,0.0,Routine 2 - Left wave down
25.5,-0.3,2.2,-0.3,0.15,0.0,0.0,Routine 2 - Left wave
26.0,-0.3,2.6,-0.2,0.1,0.0,0.0,Routine 2 - Left wave
26.5,-0.3,3.0,-0.1,0.05,0.0,0.0,Routine 2 - Left wave
27.0,-0.3,3.2,0.0,0.0,0.0,0.0,Routine 2 - Left home
27.5,0.0,3.2,0.0,0.0,0.0,0.0,Routine 2 - Center
28.0,0.3,3.2,0.0,-0.1,0.0,0.0,Routine 2 - Right wave start
28.5,0.3,3.0,-0.1,-0.15,0.0,0.0,Routine 2 - Right wave
29.0,0.3,2.6,-0.2,-0.2,0.0,0.0,Routine 2 - Right wave up
29.5,0.3,2.2,-0.3,-0.25,0.0,0.0,Routine 2 - Right wave
30.0,0.3,1.9,-0.45,-0.3,0.0,0.0,Routine 2 - Right wave peak
30.5,0.3,1.8,-0.5,-0.25,0.0,0.0,Routine 2 - Right wave top
31.0,0.3,1.9,-0.45,-0.2,0.0,0.0,Routine 2 - Right wave down
31.5,0.3,2.2,-0.3,-0.15,0.0,0.0,Routine 2 - Right wave
32.0,0.3,2.6,-0.2,-0.1,0.0,0.0,Routine 2 - Right wave
