time,joint1,joint2,joint3,joint4,joint5,joint6,description
0.0,0.0,3.2,0.0,0.0,0.0,0.0,Home horizontal
2.0,0.0,2.8,0.0,0.0,0.0,0.0,Slow up
4.0,0.0,2.4,0.0,0.0,0.0,0.0,Up more
6.0,0.0,2.0,0.0,0.0,0.0,0.0,Up
8.0,0.0,1.8,0.0,0.0,0.0,0.0,Up more
10.0,0.0,1.63,-0.1,0.0,0.0,0.0,Vertical up
12.0,0.0,1.63,-0.1,0.0,0.0,0.0,Hold
14.0,0.0,1.8,0.0,0.0,0.0,0.0,Down
16.0,0.0,2.0,0.0,0.0,0.0,0.0,Down
18.0,0.0,2.4,0.0,0.0,0.0,0.0,Down
20.0,0.0,2.8,0.0,0.0,0.0,0.0,Down
22.0,0.0,3.2,0.0,0.0,0.0,0.0,Home
24.0,0.0,3.2,0.0,0.0,0.0,0.0,Hold
26.0,-0.5,3.2,0.0,0.0,0.0,0.0,Left
28.0,-0.5,3.2,0.0,0.0,0.0,0.0,Hold
30.0,0.0,3.2,0.0,0.0,0.0,0.0,Center
32.0,0.0,3.2,0.0,0.0,0.0,0.0,Hold
34.0,0.5,3.2,0.0,0.0,0.0,0.0,Right
36.0,0.5,3.2,0.0,0.0,0.0,0.0,Hold
38.0,0.0,3.2,0.0,0.0,0.0,0.0,Home
40.0,0.0,3.2,0.0,0.0,0.0,0.0,End
