time,joint1,joint2,joint3,joint4,joint5,joint6,description
0.240,0.7807,0.9060,-2.5554,0.0000,0.0000,0.0000,Frame 6
0.360,0.8534,0.8177,-2.5576,0.0000,0.0000,0.0000,Frame 9
0.480,0.9563,0.7600,-2.6562,0.0000,0.0000,0.0000,Frame 12
0.600,1.1032,0.5366,-2.7640,0.0000,0.0000,0.0000,Frame 15
0.720,1.2716,0.5396,-2.8314,0.0000,0.0000,0.0000,Frame 18
0.840,1.4029,0.5453,-2.8360,0.0000,0.0000,0.0000,Frame 21
0.960,1.4958,0.5530,-2.8510,0.0000,0.0000,0.0000,Frame 24
1.080,1.5260,0.5690,-2.7687,0.0000,0.0000,0.0000,Frame 27
1.200,1.5302,0.5912,-2.6585,0.0000,0.0000,0.0000,Frame 30
1.320,1.5244,0.6107,-2.5996,0.0000,0.0000,0.0000,Frame 33
1.440,1.5197,0.6139,-2.5822,0.0000,0.0000,0.0000,Frame 36
1.560,1.5090,0.6118,-2.5741,0.0000,0.0000,0.0000,Frame 39
1.680,1.4944,0.5989,-2.5804,0.0000,0.0000,0.0000,Frame 42
1.800,1.4735,0.5725,-2.6415,0.0000,0.0000,0.0000,Frame 45
1.920,1.3432,0.7835,-2.6036,0.0000,0.0000,0.0000,Frame 48
2.040,1.2213,1.0052,-2.5924,0.0000,0.0000,0.0000,Frame 51
2.160,1.0604,1.2254,-2.4906,0.0000,0.0000,0.0000,Frame 54
2.280,0.8962,1.4516,-2.3412,0.0000,0.0000,0.0000,Frame 57
2.400,0.7653,1.6860,-2.2271,0.0000,0.0000,0.0000,Frame 60
2.520,0.7578,1.6795,-2.2973,0.0000,0.0000,0.0000,Frame 63
2.640,0.7406,1.6665,-2.2721,0.0000,0.0000,0.0000,Frame 66
2.760,0.7726,1.6592,-2.3097,0.0000,0.0000,0.0000,Frame 69
2.880,0.7964,1.6544,-2.3543,0.0000,0.0000,0.0000,Frame 72
3.000,0.8062,1.6537,-2.3901,0.0000,0.0000,0.0000,Frame 75
3.120,0.8193,1.6552,-2.3573,0.0000,0.0000,0.0000,Frame 78
3.240,0.7771,1.6623,-2.2631,0.0000,0.0000,0.0000,Frame 81
3.360,0.7300,1.6692,-2.1872,0.0000,0.0000,0.0000,Frame 84
3.480,0.7398,1.6737,-2.1900,0.0000,0.0000,0.0000,Frame 87
3.600,0.7698,1.6714,-2.2432,0.0000,0.0000,0.0000,Frame 90
3.720,0.7524,1.6674,-2.2250,0.0000,0.0000,0.0000,Frame 93
3.840,0.7898,1.6619,-2.3882,0.0000,0.0000,0.0000,Frame 96
3.960,0.8218,1.6528,-2.5434,0.0000,0.0000,0.0000,Frame 99
4.080,0.8144,1.4185,-2.6122,0.0000,0.0000,0.0000,Frame 102
4.200,0.7693,1.1892,-2.5322,0.0000,0.0000,0.0000,Frame 105
4.320,0.7569,0.9649,-2.5143,0.0000,0.0000,0.0000,Frame 108
4.440,0.7602,0.9615,-2.4466,0.0000,0.0000,0.0000,Frame 111
4.560,0.8924,0.9625,-2.4625,0.0000,0.0000,0.0000,Frame 114
4.680,1.0453,0.9867,-2.4523,0.0000,0.0000,0.0000,Frame 117
4.800,1.2106,1.0167,-2.4950,0.0000,0.0000,0.0000,Frame 120
4.920,0.7537,1.0967,-2.3302,0.0000,0.0000,0.0000,Frame 123
